epoch,binary_accuracy,loss,mean_iou,val_binary_accuracy,val_loss,val_mean_iou
0,0.9280481055644328,0.18634287651649584,0.6019117299742219,0.96201256324919,0.10173829934365458,0.7115498485325051
1,0.9591548688517355,0.1081187060874123,0.7415533691293159,0.8900203614783802,0.3735412770359636,0.7615908371458808
2,0.964168892075463,0.0936053413045698,0.7746350683716022,0.977149072470087,0.06175725521152896,0.7859103553222887
3,0.9637948290916496,0.09439520587677813,0.7931889321550765,0.9747754103845829,0.06906310405260582,0.7982047967773547
4,0.9667072958880866,0.08590736229940402,0.8032391156061919,0.979124124530408,0.05654845939841952,0.8078845203351631
5,0.9691899937355181,0.0779293869717945,0.8120640619073964,0.9781499351515914,0.05912878403835224,0.8157498561071627
6,0.9544412750589635,0.11753332576441636,0.8129228816080942,0.9752191669649357,0.06855978391287353,0.8133178593443452
7,0.9662936219258562,0.08698265314616374,0.815246974316075,0.9775555494020312,0.06138320047435143,0.8172721309627561
8,0.9662080319930233,0.08849076613763648,0.8192304627964517,0.9755015377745484,0.06735164991749282,0.8203109123490073
9,0.9672799271747052,0.08485852449992554,0.8216713505960603,0.9775999951705658,0.05951277898262731,0.822902596254143
