epoch,binary_accuracy,loss,mean_iou,val_binary_accuracy,val_loss,val_mean_iou
0,0.9232842896996261,0.201264051557874,0.5868282493383982,0.9584511415563899,0.1080794563289169,0.6775958923984775
1,0.9564695728976597,0.11459979297730397,0.7162159264448686,0.9643367554644029,0.09340809240079612,0.7420860756215432
2,0.962910433730617,0.09625495585473715,0.757604684938395,0.9636771015145562,0.08964278189126741,0.7708853045196244
3,0.9644886263226735,0.09140074712546965,0.7800214717747601,0.9635971981844456,0.08894073461993135,0.7880660968718769
4,0.9665783122728158,0.08539070644091422,0.7944883055317581,0.9699640016761615,0.07898439453552952,0.8001807769425482
5,0.9652022131697022,0.08958769498578789,0.8040176599239293,0.9694726033644243,0.07531804245699084,0.8067293000040632
6,0.9687027283410989,0.07962920031754381,0.810461559899284,0.9718037080421722,0.06861265968169561,0.8137847283761278
7,0.9681737505595396,0.08119913236857658,0.816154834948264,0.9714770930276501,0.0696972968096999,0.818538750247132
8,0.9686936024157227,0.07957160701351178,0.8207441338658295,0.9722494997761466,0.06819129670321038,0.8228510663364873
9,0.9697448750791963,0.07677593477083365,0.8247502535088675,0.9706203993275869,0.07279345915793516,0.8265502847355904
10,0.9704554662569184,0.07409586686585164,0.8282383429726712,0.9728595700195367,0.06763044185266434,0.8298249218961318
11,0.9698430041161775,0.0755940926215823,0.8311686276971515,0.9707043270270029,0.07205117698476622,0.8325104176095037
12,0.9710057873538926,0.07340614725667882,0.8336903631478159,0.9711999485818602,0.07085836264003309,0.8348668209082789
13,0.9708535637109335,0.07292915456934237,0.8358711511958343,0.9735139492604372,0.0679515072432675,0.8369953087765536
14,0.9702877758375429,0.07590666181292975,0.8377745884940014,0.9725812127192816,0.0679016628260301,0.8386035299662388
15,0.9694636353915916,0.07755281810212618,0.8394152533487412,0.9725233320709613,0.06824016307058522,0.8398888299791075
