epoch,binary_accuracy,loss,mean_iou,val_binary_accuracy,val_loss,val_mean_iou
0,0.929260537142062,0.1871989421515652,0.5827891168874184,0.9709286616860534,0.08668691935620719,0.6967110097837105
1,0.9601700400181321,0.10623368668730068,0.7337469443759608,0.9668371608789018,0.09581557291445972,0.7544897614623145
2,0.9612127436282797,0.102578621938086,0.7638742060922763,0.9757227301597595,0.06749735720399203,0.7739484206293569
3,0.9633526188006232,0.09669407712042086,0.7810610984724593,0.9782826295859522,0.060507867217278306,0.7862147624544102
4,0.9653533054720569,0.09109403508761942,0.7908021410559635,0.9778798810012049,0.05620337630079376,0.7950966735537961
5,0.966552603480388,0.0858864922540789,0.7984970777628336,0.977325869329048,0.058145445538684726,0.8018046906500151
6,0.9668206902974434,0.08462802501058836,0.8045434524843105,0.9795502552883231,0.05090728516040517,0.8070642004767767
7,0.9669381876374872,0.0845158808806167,0.8094083702902449,0.9762020351217805,0.05993796276638834,0.811037265139518
8,0.9684186909926101,0.0797278382641744,0.8127704330755336,0.9787451254599022,0.051923776299438694,0.8145704571947907
9,0.9695345544405566,0.07805009233476413,0.8162806413821289,0.9797634585298223,0.0501124437013976,0.818007786925748
10,0.9676670233915291,0.08253841920927105,0.8192412162761913,0.980645964042746,0.05222732181118118,0.8202392836268857
11,0.9696780803251465,0.0777924327968905,0.8215706754460395,0.9761463891376149,0.05968799591628891,0.8225844565666083
12,0.9698887656439555,0.0762570836477158,0.8236451625329961,0.9802637215998533,0.05225175663346438,0.824738650013217
13,0.9676299916234332,0.08388142492657684,0.8254494711415459,0.9746525381966461,0.06387180885929855,0.8257156846334608
14,0.9677950065531927,0.08233602805752491,0.8261416596442147,0.9796436289043138,0.049917776518586005,0.8266933307503209
15,0.9706270072085484,0.07476748953756583,0.8275619619091035,0.9808875592492468,0.04789186202043252,0.8284097159509178
16,0.9706137586792614,0.07468233987660582,0.8292891957605159,0.9791528068000465,0.05156266288630825,0.8299332792810399
17,0.970469093432957,0.07487431578715188,0.8305956049827318,0.9795057714888544,0.05122670586305586,0.831335210890481
18,0.9703371185841437,0.07486518788762132,0.8320180436285735,0.9804310326953586,0.051784410684121596,0.8324254901289082
19,0.9717528220958079,0.07197921394794686,0.8331021082234443,0.9789920856626771,0.050634259344648117,0.8337260596186137
20,0.9709461398059333,0.0746175685100635,0.8342877352811517,0.9791868934125612,0.0509074919250314,0.8348083744446436
