epoch,binary_accuracy,loss,mean_iou,val_binary_accuracy,val_loss,val_mean_iou
0,0.9272595585795456,0.18257341043592334,0.5877600807421687,0.9667659071709612,0.08769444301188421,0.7013141765868921
1,0.957946744548845,0.1105681280295252,0.7332588500721196,0.9643326041509779,0.0903254776268447,0.7551046228237289
2,0.9620126394432063,0.09877248237946819,0.7679037866905536,0.9705107722318533,0.07727533451874148,0.7787559578816096
3,0.956183737338196,0.11767813251602627,0.7834742023365492,0.9687531594749835,0.08430304174586166,0.7839968620444373
4,0.9606762881639241,0.10122631071744012,0.7879053911168673,0.972476164214045,0.0709900669485545,0.7916613006763321
5,0.9660835302594288,0.08644738047365022,0.7963920760618337,0.9700620476946686,0.07634860669460261,0.8003348762338812
6,0.9655609141475978,0.0867868234621451,0.8034790341029033,0.9726532470408104,0.06931855097386262,0.8063450524275252
7,0.966904674265694,0.08333748965121861,0.8090439211383609,0.9732496974279554,0.06628017165034795,0.811585373586888
8,0.9678311559627266,0.08094667489283784,0.813796902903714,0.9738099096399365,0.06362631914883175,0.8159406460595854
9,0.9694067077289404,0.07693813510153813,0.8179415842996905,0.9738147636111691,0.0643647297439601,0.8199914012023871
10,0.9702690145298293,0.07496624598134123,0.8218843858638006,0.9732981667244177,0.0671725728743368,0.8236137186880592
11,0.9701736458631546,0.07472498018925747,0.8252195091737012,0.9747774135885816,0.06305703777594096,0.8267951648343693
12,0.9679788025389974,0.08326321268904863,0.8277992102459125,0.9741446847538296,0.06382597800639035,0.8288593197898041
13,0.9703544609570928,0.07476162859777809,0.8300002114160067,0.9736484370643287,0.06438394893201993,0.8311679573367825
14,0.9704158676442045,0.07503182573220522,0.8322327670148121,0.9736912413076921,0.06469163891266692,0.8333182262651848
15,0.9694576895385173,0.07770696950700534,0.8340634748097396,0.9725365360006154,0.0704603742124687,0.8348374551148723
16,0.9707890374173644,0.07402185817621175,0.8356070353367553,0.9739240159233697,0.0665604308944383,0.8364333227384004
